scenario,final_state,released,pump_cmd,valve_1_cmd,valve_2_cmd,automatic_restart,evidence,duration_ms,transition_count,fault_code,hold_reason,pulse_1,pulse_2,volume_1_ml,volume_2_ml,inspection_id,result_id,invariant_violations,transitions
air_pressure_loss,FAULTED,False,False,False,False,False,first-out AIR_PRESSURE_LOSS; commands de-energized; explicit new start required,3360,9,AIR_PRESSURE_LOSS,,110,93,110.259,93.296,0,0,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2320:ZEROING > 2360:FILLING > 2860:FAULTED
product_supply_loss,FAULTED,False,False,False,False,False,first-out PRODUCT_SUPPLY_LOSS; commands de-energized; explicit new start required,3360,9,PRODUCT_SUPPLY_LOSS,,100,85,100.63,85.148,0,0,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2320:ZEROING > 2360:FILLING > 2860:FAULTED
capper_not_ready,FAULTED,False,False,False,False,False,first-out CAPPER_NOT_READY; commands de-energized; explicit new start required,7040,13,CAPPER_NOT_READY,,514,511,514.03,511.296,1,1,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2320:ZEROING > 2360:FILLING > 4760:DRIP_SETTLE > 5160:VISION_REQUEST > 5180:VISION_WAIT > 5540:TRANSFER > 6540:FAULTED
capper_busy_timeout,FAULTED,False,False,False,False,False,first-out CAPPER_BUSY_TIMEOUT; commands de-energized; explicit new start required,8020,14,CAPPER_BUSY_TIMEOUT,,514,511,514.03,511.296,1,1,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2320:ZEROING > 2360:FILLING > 4760:DRIP_SETTLE > 5160:VISION_REQUEST > 5180:VISION_WAIT > 5540:TRANSFER > 6520:CAPPER_WAIT_BUSY > 7520:FAULTED
capper_fault,FAULTED,False,False,False,False,False,first-out CAPPER_FAULT; commands de-energized; explicit new start required,7340,15,CAPPER_FAULT,,514,511,514.03,511.296,1,1,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2320:ZEROING > 2360:FILLING > 4760:DRIP_SETTLE > 5160:VISION_REQUEST > 5180:VISION_WAIT > 5540:TRANSFER > 6520:CAPPER_WAIT_BUSY > 6740:CAPPER_WAIT_COMPLETE > 6840:FAULTED
hmi_communications_loss,STOPPED,False,False,False,False,False,first-out HMI_COMMS_LOSS; commands de-energized; explicit new start required,3560,10,HMI_COMMS_LOSS,,110,93,110.259,93.296,0,0,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2320:ZEROING > 2360:FILLING > 2860:CONTROLLED_STOPPING > 3120:STOPPED
vision_not_ready,HOLDING,False,False,False,False,False,quality hold: VISION_NOT_READY,6660,11,VISION_NOT_READY,VISION_NOT_READY,514,511,514.03,511.296,0,0,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2320:ZEROING > 2360:FILLING > 4760:DRIP_SETTLE > 5160:VISION_REQUEST > 6160:HOLDING
vision_result_timeout,HOLDING,False,False,False,False,False,quality hold: VISION_RESULT_TIMEOUT,6680,12,VISION_RESULT_TIMEOUT,VISION_RESULT_TIMEOUT,514,511,514.03,511.296,1,0,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2320:ZEROING > 2360:FILLING > 4760:DRIP_SETTLE > 5160:VISION_REQUEST > 5180:VISION_WAIT > 6180:HOLDING
stale_inspection_id,HOLDING,False,False,False,False,False,quality hold: VISION_STALE_ID,6040,12,VISION_STALE_ID,VISION_STALE_ID,514,511,514.03,511.296,1,0,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2320:ZEROING > 2360:FILLING > 4760:DRIP_SETTLE > 5160:VISION_REQUEST > 5180:VISION_WAIT > 5540:HOLDING
low_confidence_inspection,HOLDING,False,False,False,False,False,quality hold: VISION_LOW_CONFIDENCE,6040,12,VISION_LOW_CONFIDENCE,VISION_LOW_CONFIDENCE,514,511,514.03,511.296,1,1,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2320:ZEROING > 2360:FILLING > 4760:DRIP_SETTLE > 5160:VISION_REQUEST > 5180:VISION_WAIT > 5540:HOLDING
one_bottle_fails,HOLDING,False,False,False,False,False,quality hold: VISION_QUALITY_REJECT,6040,12,VISION_QUALITY_REJECT,VISION_QUALITY_REJECT,514,511,514.03,511.296,1,1,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2320:ZEROING > 2360:FILLING > 4760:DRIP_SETTLE > 5160:VISION_REQUEST > 5180:VISION_WAIT > 5540:HOLDING
vision_heartbeat_loss,HOLDING,False,False,False,False,False,quality hold: VISION_HEARTBEAT_STALE,5680,11,VISION_HEARTBEAT_STALE,VISION_HEARTBEAT_STALE,514,511,514.03,511.296,0,0,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2320:ZEROING > 2360:FILLING > 4760:DRIP_SETTLE > 5160:VISION_REQUEST > 5180:HOLDING
plc_heartbeat_loss,HOLDING,False,False,False,False,False,quality hold: VISION_REPORTED_PLC_HEARTBEAT_STALE,5680,11,VISION_REPORTED_PLC_HEARTBEAT_STALE,VISION_REPORTED_PLC_HEARTBEAT_STALE,514,511,514.03,511.296,0,0,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2320:ZEROING > 2360:FILLING > 4760:DRIP_SETTLE > 5160:VISION_REQUEST > 5180:HOLDING
power_loss_during_filling,STOPPED,False,False,False,False,False,first-out POWER_LOSS_DURING_CYCLE; commands de-energized; explicit new start required,3860,10,POWER_LOSS_DURING_CYCLE,,100,85,100.63,85.148,0,0,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2320:ZEROING > 2360:FILLING > 2860:UNINITIALIZED > 3560:STOPPED
power_restoration,STOPPED,False,False,False,False,False,stopped with restart inhibit; no start edge accepted,2000,1,,,0,0,0.0,0.0,0,0,,0:UNINITIALIZED > 1000:STOPPED
reset_no_restart,STOPPED,False,False,False,False,False,first-out PUMP_VFD_FAULT; commands de-energized; explicit new start required,3460,10,PUMP_VFD_FAULT,,58,49,58.259,49.296,0,0,,0:UNINITIALIZED > 0:STOPPED > 260:INITIALIZING > 560:READY > 580:INDEXING > 1740:GATE_CLOSING > 2040:CLAMPING > 2320:ZEROING > 2360:FILLING > 2660:FAULTED > 3160:STOPPED
manual_mode_interlocks,FAULTED,False,False,False,False,False,first-out MANUAL_COMMAND_INTERLOCK; commands de-energized; explicit new start required,800,2,MANUAL_COMMAND_INTERLOCK,,0,0,0.0,0.0,0,0,,0:UNINITIALIZED > 0:STOPPED > 300:FAULTED
