ecr,reason,affected,compatibility,test_impact,risk,migration
ECR-D1-002,"Harden PLC restart identity, startup decommand, capper correlation and post-fault disposition",revision_d_scl.py; generated Siemens SCL; D.1 Siemens contract tests,Session/model configuration is retained; restart with captured product requires removal and explicit disposition,Ten new static Siemens source-contract regressions plus full simulator suite,"Native TIA compile, retentivity configuration and PLCSIM behavior remain unverified",Import all 15 sources together; configure approved model identity before enabling vision
ECR-D1-003,Reject same-session replay and preserve immutable edge results until exact acknowledgement,edge protocol/service/tests,Canonical ASCII model IDs; coherent disabled reset cannot clear an unacknowledged same-session result,"Seven additional replay, polling, exception-containment and publication-lifecycle tests",No production OPC UA adapter or target Jetson runtime exists,Adapter must pass a coherent disabled PLC snapshot and retain exact ACK semantics
ECR-E-001,Replace obsolete panel baseline with a genuine selected-architecture Revision-E FreeCAD assembly,09_panel_cad/revision_e; panel schedule; CAD tests and evidence,Historical Revision-A native baseline remains quarantined and recoverable,"Native FCStd reopen, object/solid/shape checks, STEP/IGES reimport, DXF hole reconciliation and visual review","Provisional PC200/carrier, protection/terminal families, thermal data and vendor clearances remain controlled assumptions",Use Revision-E FCStd/exchange files only with their native verification record and assumption register
ECR-E-002,Make the PLC-to-edge request poll-safe and transaction-immutable,revision_d_scl.py; FB_VisionInterface; FB_CellMain; interface schedule/ICD; Revision-E contracts,Trigger changes from one-scan pulse to held request; session/InspectionId remain authoritative,Nine added source contracts plus full simulator/edge/interface regression,Native TIA compile/PLCSIM and production PLC OPC UA endpoint remain unverified,Import all Siemens sources together and deploy the matching Revision-E edge adapter
ECR-E-003,Add a production-shaped secure OPC UA adapter with observable fail-closed service behavior,"07_nvidia_vision/edge_service adapter, runtime config, deployment files and integration tests",Exact acknowledgement and immutable-publication D.1 rules retained,"Real asyncua server/client PKI, mapping, reconnect, idempotency, malformed-data, heartbeat, health and metrics tests",Synthetic server/client evidence is not production PLC/Jetson/model validation,"Provision site PKI/trust stores, least-privilege service identity and approved endpoint/node map before target deployment"
ECR-E-004,Execute official QElectroTech 0.100 native schematic workflow where reproducibly achievable,03_electrical/revision_e; QET scripts/tests/native evidence,Historical Revision-A QET remains quarantined,"Native reopen/export evidence, page inventory, tag/address/terminal/cable reconciliation and visual review",Site electrical inputs and qualified construction review remain open,Use only the Revision-E project/export set with the recorded executable hash and blocker boundary
ECR-F-001,Expand the PLC-AI contract from 27 to 47 typed nodes,Canonical model; Siemens SCL/HMI; edge adapter; schedules/ICD,Existing nodes and immutable session/ID/ACK rules retained,"Source parity, 47-node mapping, OPC UA integration and negative contract tests",Native TIA/WinCC compile and production endpoint remain unverified,Import all Revision-F Siemens sources and deploy the matching edge/node map atomically
ECR-F-002,"Complete locally executable edge, configuration, dataset and evaluation foundations",07_nvidia_vision,No-model and synthetic modes remain explicitly non-production,"Unit, schema, dataset, event-store, adapter and synthetic-fixture tests",No real dataset/model/target runtime performance evidence,Replace mock adapters only through approved model/configuration change control
ECR-F-003,Add the 28-case NVIDIA structured behavioral fault-injection matrix,11_simulation; test schedule; CI,Existing 32 machine scenarios retained,"Every injected invalid observation proves no release, safe outputs, exact identity and explicit recovery in the software-only model","The behavioral model is not PLCSIM, HIL or physical evidence",Repeat applicable cases in native and physical test stages
ECR-F-004,Issue a controlled NVIDIA electrical delta without corrupting the released QET source,03_electrical; load budget; delta schedule,Revision-E QET/CAD native evidence retained,"Load total, branch, terminal/cable/port and document checks","Selected devices, protection, thermal/site data and native QET update remain open",Apply the delta natively using the recorded QET procedure after device selection
ECR-F-005,"Refresh CI, workbook, PDF, manifest and clean-clone release evidence",scripts; .github; 10_schedules; 14_qa; release,D.1 Git-object authority model retained,"Determinism, formulas, renders, manifest and clean-clone reproduction",Self-hosted native CI requires the controlled runner,Accept only the final pushed SHA after fresh-clone reproduction
