tag,full_designation,description,order_no,category,x_mm,y_mm,z_mm,width_mm,height_mm,depth_mm,mounting,zone,dimension_basis,engineering_status,top_clearance_mm,bottom_clearance_mm,side_clearance_mm,heat_loss_w,controlled_physical,notes
-WD113,=FC01+CP01-WD113,Terminal/field-entry horizontal duct,,Infrastructure,70,150,18,670,20,55,Mounting plate,Routing,Controlled routing envelope; duct family and fill calculation open,"PROVISIONAL — VERIFY DUCT FILL, bend radius, conductor count and EMC separation",0,0,0,TBD,True,
-WD114,=FC01+CP01-WD114,Drive-zone top routing outside 80 mm cooling envelope,,Infrastructure,70,555,18,180,20,55,Mounting plate,Routing,Controlled routing envelope; duct family and fill calculation open,"PROVISIONAL — VERIFY DUCT FILL, bend radius, conductor count and EMC separation",0,0,0,TBD,True,
-QF100,=FC01+CP01-QF100,Main protective device envelope,,Device,80,585,26,54,90,80,Mounting plate / DIN support,Mains,Controlled generic envelope; protective device not selected,"TBD — fault level, supply, selectivity and protection study required",0,0,0,TBD,True,
-U100,=FC01+CP01-U100,SINAMICS G120C PN 0.75 kW unfiltered — FSA PN envelope,6SL3210-1KE12-3UF2,Device,80.0,275,18,73,196,225.4,Direct mounting plate,Mains / drive heat,Siemens order-number data sheet: 73 W x 196 H x 225.4 D mm; FSA PN,SELECTED ENVELOPE; drive rating/duty and Startdrive configuration remain provisional,80,100,0,38.6,True,Cooling clearance from Siemens D31.1 catalog; confirm installed accessories and ambient derating
-U101,=FC01+CP01-U101,SINAMICS G120C PN 0.75 kW unfiltered — FSA PN envelope,6SL3210-1KE12-3UF2,Device,175.0,275,18,73,196,225.4,Direct mounting plate,Mains / drive heat,Siemens order-number data sheet: 73 W x 196 H x 225.4 D mm; FSA PN,SELECTED ENVELOPE; drive rating/duty and Startdrive configuration remain provisional,80,100,0,38.6,True,Cooling clearance from Siemens D31.1 catalog; confirm installed accessories and ambient derating
-PS100,=FC01+CP01-PS100,24 VDC 20 A power supply,,Device,300,360,26,125,110,130,DIN rail R2,Power/control,Controlled provisional equipment envelope; selected order number absent,TBD — 24 VDC demand sizing provisional; supplier and thermal loss open,0,0,0,TBD,True,
-QF110,=FC01+CP01-QF110,24 VDC electronic branch protection,,Device,435,360,26,90,110,80,DIN rail R2,Power/control,Controlled provisional equipment envelope; selected order number absent,TBD — Branch currents and discrimination open,0,0,0,TBD,True,
-K100,=FC01+CP01-K100,External conceptual safety/control-enable interface,,Device,535,370,26,55,90,85,DIN rail R2,Conceptual safety interface,Controlled provisional equipment envelope; selected order number absent,TBD — Qualified safety design and final contactor/interface selection open,0,0,0,TBD,True,
-A100,=FC01+CP01-A100,SIMATIC S7-1500 CPU 1511-1 PN,6ES7511-1AL03-0AB0,Device,300,550,26,35,147,129,DIN rail R1,PLC / control,Official Siemens product data; simplified rectangular selected-device envelope,SELECTED BASELINE — native TIA catalog/configuration and accessory confirmation open,25,25,0,TBD,True,
-A101,=FC01+CP01-A101,TM Count 2x24V,6ES7550-1AA01-0AB0,Device,339,550,26,35,147,129,DIN rail R1,PLC / control,Official Siemens product data; simplified rectangular selected-device envelope,SELECTED BASELINE — native TIA catalog/configuration and accessory confirmation open,25,25,0,TBD,True,
-A102,=FC01+CP01-A102,DI 32x24V DC HF,6ES7521-1BL00-0AB0,Device,378,550,26,35,147,129,DIN rail R1,PLC / control,Official Siemens product data; simplified rectangular selected-device envelope,SELECTED BASELINE — native TIA catalog/configuration and accessory confirmation open,25,25,0,TBD,True,
-A103,=FC01+CP01-A103,DQ 32x24V DC/0.5A HF,6ES7522-1BL01-0AB0,Device,417,550,26,35,147,129,DIN rail R1,PLC / control,Official Siemens product data; simplified rectangular selected-device envelope,SELECTED BASELINE — native TIA catalog/configuration and accessory confirmation open,25,25,0,TBD,True,
-A104,=FC01+CP01-A104,AI 8xU/I HF,6ES7531-7NF00-0AB0,Device,456,550,26,35,147,129,DIN rail R1,PLC / control,Official Siemens product data; simplified rectangular selected-device envelope,SELECTED BASELINE — native TIA catalog/configuration and accessory confirmation open,25,25,0,TBD,True,
-SW100,=FC01+CP01-SW100,SCALANCE XC208 managed switch,6GK5208-0BA00-2AC2,Device,505,550,26,60,147,125,DIN rail R1,Network,Official Siemens technical data; controlled 5 mm lateral layout-clearance assumption; confirm against order-number installation data,SELECTED NETWORK BASELINE — native configuration and site policy open,25,25,5,TBD,True,
-FW100,=FC01+CP01-FW100,SCALANCE S615 EEC firewall/router,6GK5615-0AA01-2AA2,Device,575,550,26,35,147,127,DIN rail R1,Network,Siemens S615/S615 EEC operating instructions; variant CAx confirmation open; controlled 5 mm lateral layout-clearance assumption; confirm against order-number installation data,SELECTED NETWORK BASELINE — native configuration and site policy open,25,25,5,TBD,True,
-PC200,=FC01+CP01-PC200,Jetson Orin NX industrial carrier reserved envelope,,Device,620,540,26,115,165,80,DIN rail / shelf,Vision edge,"CONTROLLED ARCHITECTURE-ONLY ENVELOPE ASSUMPTION — carrier, cooling kit and interfaces not selected","TBD — NOT PROCUREMENT OR CONSTRUCTION DATA; confirm industrial carrier, thermal solution, EMC and lifecycle",25,25,5,TBD,True,
-K202,=FC01+CP01-K202,Interposing relay with base/status indication,,Device,300,235,26,14,80,75,DIN rail R3,24 VDC output interface,Controlled generic relay envelope; actual supplier/rating open,TBD — coil/contact/load ratings and approved supplier required,0,0,0,TBD,True,
-K203,=FC01+CP01-K203,Interposing relay with base/status indication,,Device,318,235,26,14,80,75,DIN rail R3,24 VDC output interface,Controlled generic relay envelope; actual supplier/rating open,TBD — coil/contact/load ratings and approved supplier required,0,0,0,TBD,True,
-K204,=FC01+CP01-K204,Interposing relay with base/status indication,,Device,336,235,26,14,80,75,DIN rail R3,24 VDC output interface,Controlled generic relay envelope; actual supplier/rating open,TBD — coil/contact/load ratings and approved supplier required,0,0,0,TBD,True,
-K205,=FC01+CP01-K205,Interposing relay with base/status indication,,Device,354,235,26,14,80,75,DIN rail R3,24 VDC output interface,Controlled generic relay envelope; actual supplier/rating open,TBD — coil/contact/load ratings and approved supplier required,0,0,0,TBD,True,
-K206,=FC01+CP01-K206,Interposing relay with base/status indication,,Device,372,235,26,14,80,75,DIN rail R3,24 VDC output interface,Controlled generic relay envelope; actual supplier/rating open,TBD — coil/contact/load ratings and approved supplier required,0,0,0,TBD,True,
-K207,=FC01+CP01-K207,Interposing relay with base/status indication,,Device,390,235,26,14,80,75,DIN rail R3,24 VDC output interface,Controlled generic relay envelope; actual supplier/rating open,TBD — coil/contact/load ratings and approved supplier required,0,0,0,TBD,True,
-K208,=FC01+CP01-K208,Interposing relay with base/status indication,,Device,408,235,26,14,80,75,DIN rail R3,24 VDC output interface,Controlled generic relay envelope; actual supplier/rating open,TBD — coil/contact/load ratings and approved supplier required,0,0,0,TBD,True,
-K209,=FC01+CP01-K209,Interposing relay with base/status indication,,Device,426,235,26,14,80,75,DIN rail R3,24 VDC output interface,Controlled generic relay envelope; actual supplier/rating open,TBD — coil/contact/load ratings and approved supplier required,0,0,0,TBD,True,
-K210,=FC01+CP01-K210,Interposing relay with base/status indication,,Device,444,235,26,14,80,75,DIN rail R3,24 VDC output interface,Controlled generic relay envelope; actual supplier/rating open,TBD — coil/contact/load ratings and approved supplier required,0,0,0,TBD,True,
-K211,=FC01+CP01-K211,Interposing relay with base/status indication,,Device,462,235,26,14,80,75,DIN rail R3,24 VDC output interface,Controlled generic relay envelope; actual supplier/rating open,TBD — coil/contact/load ratings and approved supplier required,0,0,0,TBD,True,
-K212,=FC01+CP01-K212,Interposing relay with base/status indication,,Device,480,235,26,14,80,75,DIN rail R3,24 VDC output interface,Controlled generic relay envelope; actual supplier/rating open,TBD — coil/contact/load ratings and approved supplier required,0,0,0,TBD,True,
-K213,=FC01+CP01-K213,Interposing relay with base/status indication,,Device,498,235,26,14,80,75,DIN rail R3,24 VDC output interface,Controlled generic relay envelope; actual supplier/rating open,TBD — coil/contact/load ratings and approved supplier required,0,0,0,TBD,True,
-QF111..-QF116,=FC01+CP01-QF111..-QF116,Reserved branch-fuse/electronic-protection envelope,,Device,525,235,26,108,80,75,DIN rail R3,24 VDC protection,Six 18 mm ways reserved; devices/ratings not selected,"TBD — branch load, discrimination and protective-device selection required",0,0,0,TBD,True,
-X100:1,=FC01+CP01-X100:1,Terminal for GUARD_CLOSED_STATUS / 24 VDC switched,,Terminal,80.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C001 core 1; wire W0003
-X100:2,=FC01+CP01-X100:2,Terminal for GUARD_CLOSED_STATUS / +24VDC fused,,Terminal,86.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C001 core 2; wire W0004
-X100:3,=FC01+CP01-X100:3,Terminal for AIR_PRESSURE_OK / 24 VDC switched,,Terminal,93.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C002 core 1; wire W0005
-X100:4,=FC01+CP01-X100:4,Terminal for AIR_PRESSURE_OK / +24VDC fused,,Terminal,99.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C002 core 2; wire W0006
-X100:5,=FC01+CP01-X100:5,Terminal for AIR_PRESSURE_OK / 0V,,Terminal,106.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C002 core 3; wire W0007
-X100:6,=FC01+CP01-X100:6,Terminal for PRODUCT_SUPPLY_OK / 24 VDC switched,,Terminal,112.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C003 core 1; wire W0008
-X100:7,=FC01+CP01-X100:7,Terminal for PRODUCT_SUPPLY_OK / +24VDC fused,,Terminal,119.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C003 core 2; wire W0009
-X100:8,=FC01+CP01-X100:8,Terminal for PRODUCT_SUPPLY_OK / 0V,,Terminal,125.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C003 core 3; wire W0010
-X100:9,=FC01+CP01-X100:9,Terminal for BOTTLE_AT_NEST_1 / 24 VDC switched,,Terminal,132.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C004 core 1; wire W0011
-X100:10,=FC01+CP01-X100:10,Terminal for BOTTLE_AT_NEST_1 / +24VDC fused,,Terminal,138.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C004 core 2; wire W0012
-X100:11,=FC01+CP01-X100:11,Terminal for BOTTLE_AT_NEST_1 / 0V,,Terminal,145.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C004 core 3; wire W0013
-X100:12,=FC01+CP01-X100:12,Terminal for BOTTLE_AT_NEST_2 / 24 VDC switched,,Terminal,151.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C005 core 1; wire W0014
-X100:13,=FC01+CP01-X100:13,Terminal for BOTTLE_AT_NEST_2 / +24VDC fused,,Terminal,158.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C005 core 2; wire W0015
-X100:14,=FC01+CP01-X100:14,Terminal for BOTTLE_AT_NEST_2 / 0V,,Terminal,164.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C005 core 3; wire W0016
-X100:15,=FC01+CP01-X100:15,Terminal for GATE_OPEN_FB / 24 VDC switched,,Terminal,171.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C006 core 1; wire W0017
-X100:16,=FC01+CP01-X100:16,Terminal for GATE_OPEN_FB / +24VDC fused,,Terminal,177.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C006 core 2; wire W0018
-X100:17,=FC01+CP01-X100:17,Terminal for GATE_OPEN_FB / 0V,,Terminal,184.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C006 core 3; wire W0019
-X100:18,=FC01+CP01-X100:18,Terminal for GATE_CLOSED_FB / 24 VDC switched,,Terminal,190.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C007 core 1; wire W0020
-X100:19,=FC01+CP01-X100:19,Terminal for GATE_CLOSED_FB / +24VDC fused,,Terminal,197.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C007 core 2; wire W0021
-X100:20,=FC01+CP01-X100:20,Terminal for GATE_CLOSED_FB / 0V,,Terminal,203.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C007 core 3; wire W0022
-X100:21,=FC01+CP01-X100:21,Terminal for CLAMP_RELEASED_FB / 24 VDC switched,,Terminal,210.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C008 core 1; wire W0023
-X100:22,=FC01+CP01-X100:22,Terminal for CLAMP_RELEASED_FB / +24VDC fused,,Terminal,216.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C008 core 2; wire W0024
-X100:23,=FC01+CP01-X100:23,Terminal for CLAMP_RELEASED_FB / 0V,,Terminal,223.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C008 core 3; wire W0025
-X100:24,=FC01+CP01-X100:24,Terminal for CLAMP_ENGAGED_FB / 24 VDC switched,,Terminal,229.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C009 core 1; wire W0026
-X101:1,=FC01+CP01-X101:1,Terminal for CLAMP_ENGAGED_FB / +24VDC fused,,Terminal,236.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C009 core 2; wire W0027
-X101:2,=FC01+CP01-X101:2,Terminal for CLAMP_ENGAGED_FB / 0V,,Terminal,242.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C009 core 3; wire W0028
-X101:3,=FC01+CP01-X101:3,Terminal for FILL_VALVE_1_CLOSED_FB / 24 VDC switched,,Terminal,249.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C010 core 1; wire W0029
-X101:4,=FC01+CP01-X101:4,Terminal for FILL_VALVE_1_CLOSED_FB / +24VDC fused,,Terminal,255.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C010 core 2; wire W0030
-X101:5,=FC01+CP01-X101:5,Terminal for FILL_VALVE_1_CLOSED_FB / 0V,,Terminal,262.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C010 core 3; wire W0031
-X101:6,=FC01+CP01-X101:6,Terminal for FILL_VALVE_2_CLOSED_FB / 24 VDC switched,,Terminal,268.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C011 core 1; wire W0032
-X101:7,=FC01+CP01-X101:7,Terminal for FILL_VALVE_2_CLOSED_FB / +24VDC fused,,Terminal,275.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C011 core 2; wire W0033
-X101:8,=FC01+CP01-X101:8,Terminal for FILL_VALVE_2_CLOSED_FB / 0V,,Terminal,281.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C011 core 3; wire W0034
-X101:9,=FC01+CP01-X101:9,Terminal for CAPPER_READY / 24 VDC switched,,Terminal,288.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C012 core 1; wire W0035
-X101:10,=FC01+CP01-X101:10,Terminal for CAPPER_READY / +24VDC fused,,Terminal,294.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C012 core 2; wire W0036
-X101:11,=FC01+CP01-X101:11,Terminal for CAPPER_READY / 0V,,Terminal,301.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C012 core 3; wire W0037
-X101:12,=FC01+CP01-X101:12,Terminal for CAPPER_BUSY / 24 VDC switched,,Terminal,307.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C012 core 4; wire W0038
-X101:13,=FC01+CP01-X101:13,Terminal for CAPPER_COMPLETE / 24 VDC switched,,Terminal,314.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C012 core 5; wire W0039
-X101:14,=FC01+CP01-X101:14,Terminal for CAPPER_FAULT / 24 VDC switched,,Terminal,320.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C012 core 6; wire W0040
-X101:15,=FC01+CP01-X101:15,Terminal for LOCAL_RESET_PB / 24 VDC switched,,Terminal,327.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C013 core 1; wire W0041
-X101:16,=FC01+CP01-X101:16,Terminal for LOCAL_RESET_PB / +24VDC fused,,Terminal,333.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C013 core 2; wire W0042
-X101:17,=FC01+CP01-X101:17,Terminal for LOCAL_RESET_PB / 0V,,Terminal,340.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C013 core 3; wire W0043
-X101:18,=FC01+CP01-X101:18,Terminal for LOCAL_STOP_PB / 24 VDC switched,,Terminal,346.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C014 core 1; wire W0044
-X101:19,=FC01+CP01-X101:19,Terminal for LOCAL_STOP_PB / +24VDC fused,,Terminal,353.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C014 core 2; wire W0045
-X101:20,=FC01+CP01-X101:20,Terminal for LOCAL_STOP_PB / 0V,,Terminal,359.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C014 core 3; wire W0046
