signal,function,field_device,field_designation,field_pin,cable_id,cable_core,field_terminal,panel_terminal,internal_wire,interposing_device,module,module_designation,module_terminal,plc_address,potential,return_common,shield_termination,conductor_mm2,color,destination,status
BOTTLE_AT_NEST_1,Sensor/interface supply,-B110,=FC01+FLD-B110,1,C004,2,-B110:1,X100:10,W0012,,-A102,=FC01+CP01-A102,10,I1.2,+24VDC fused,,,0.75,BN,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
BOTTLE_AT_NEST_1,Sensor/interface return,-B110,=FC01+FLD-B110,3,C004,3,-B110:3,X100:11,W0013,,-A102,=FC01+CP01-A102,10,I1.2,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
BOTTLE_AT_NEST_2,PNP signal,-B111,=FC01+FLD-B111,4,C005,1,-B111:4,X100:12,W0014,,-A102,=FC01+CP01-A102,11,I1.3,24 VDC switched,,,0.75,BK,=FC01+CP01-A102:11,Controlled Rev-C connection; native QET continuity verification remains open
BOTTLE_AT_NEST_2,Sensor/interface supply,-B111,=FC01+FLD-B111,1,C005,2,-B111:1,X100:13,W0015,,-A102,=FC01+CP01-A102,11,I1.3,+24VDC fused,,,0.75,BN,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
BOTTLE_AT_NEST_2,Sensor/interface return,-B111,=FC01+FLD-B111,3,C005,3,-B111:3,X100:14,W0016,,-A102,=FC01+CP01-A102,11,I1.3,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
GATE_OPEN_FB,PNP signal,-B120,=FC01+FLD-B120,4,C006,1,-B120:4,X100:15,W0017,,-A102,=FC01+CP01-A102,12,I1.4,24 VDC switched,,,0.75,BK,=FC01+CP01-A102:12,Controlled Rev-C connection; native QET continuity verification remains open
GATE_OPEN_FB,Sensor/interface supply,-B120,=FC01+FLD-B120,1,C006,2,-B120:1,X100:16,W0018,,-A102,=FC01+CP01-A102,12,I1.4,+24VDC fused,,,0.75,BN,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
GATE_OPEN_FB,Sensor/interface return,-B120,=FC01+FLD-B120,3,C006,3,-B120:3,X100:17,W0019,,-A102,=FC01+CP01-A102,12,I1.4,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
GATE_CLOSED_FB,PNP signal,-B121,=FC01+FLD-B121,4,C007,1,-B121:4,X100:18,W0020,,-A102,=FC01+CP01-A102,13,I1.5,24 VDC switched,,,0.75,BK,=FC01+CP01-A102:13,Controlled Rev-C connection; native QET continuity verification remains open
GATE_CLOSED_FB,Sensor/interface supply,-B121,=FC01+FLD-B121,1,C007,2,-B121:1,X100:19,W0021,,-A102,=FC01+CP01-A102,13,I1.5,+24VDC fused,,,0.75,BN,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
GATE_CLOSED_FB,Sensor/interface return,-B121,=FC01+FLD-B121,3,C007,3,-B121:3,X100:20,W0022,,-A102,=FC01+CP01-A102,13,I1.5,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
CLAMP_RELEASED_FB,PNP signal,-B122,=FC01+FLD-B122,4,C008,1,-B122:4,X100:21,W0023,,-A102,=FC01+CP01-A102,14,I1.6,24 VDC switched,,,0.75,BK,=FC01+CP01-A102:14,Controlled Rev-C connection; native QET continuity verification remains open
CLAMP_RELEASED_FB,Sensor/interface supply,-B122,=FC01+FLD-B122,1,C008,2,-B122:1,X100:22,W0024,,-A102,=FC01+CP01-A102,14,I1.6,+24VDC fused,,,0.75,BN,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
CLAMP_RELEASED_FB,Sensor/interface return,-B122,=FC01+FLD-B122,3,C008,3,-B122:3,X100:23,W0025,,-A102,=FC01+CP01-A102,14,I1.6,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
CLAMP_ENGAGED_FB,PNP signal,-B123,=FC01+FLD-B123,4,C009,1,-B123:4,X100:24,W0026,,-A102,=FC01+CP01-A102,15,I1.7,24 VDC switched,,,0.75,BK,=FC01+CP01-A102:15,Controlled Rev-C connection; native QET continuity verification remains open
CLAMP_ENGAGED_FB,Sensor/interface supply,-B123,=FC01+FLD-B123,1,C009,2,-B123:1,X101:1,W0027,,-A102,=FC01+CP01-A102,15,I1.7,+24VDC fused,,,0.75,BN,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
CLAMP_ENGAGED_FB,Sensor/interface return,-B123,=FC01+FLD-B123,3,C009,3,-B123:3,X101:2,W0028,,-A102,=FC01+CP01-A102,15,I1.7,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
FILL_VALVE_1_CLOSED_FB,PNP signal,-B130,=FC01+FLD-B130,4,C010,1,-B130:4,X101:3,W0029,,-A102,=FC01+CP01-A102,16,I2.0,24 VDC switched,,,0.75,BK,=FC01+CP01-A102:16,Controlled Rev-C connection; native QET continuity verification remains open
FILL_VALVE_1_CLOSED_FB,Sensor/interface supply,-B130,=FC01+FLD-B130,1,C010,2,-B130:1,X101:4,W0030,,-A102,=FC01+CP01-A102,16,I2.0,+24VDC fused,,,0.75,BN,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
FILL_VALVE_1_CLOSED_FB,Sensor/interface return,-B130,=FC01+FLD-B130,3,C010,3,-B130:3,X101:5,W0031,,-A102,=FC01+CP01-A102,16,I2.0,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
FILL_VALVE_2_CLOSED_FB,PNP signal,-B131,=FC01+FLD-B131,4,C011,1,-B131:4,X101:6,W0032,,-A102,=FC01+CP01-A102,17,I2.1,24 VDC switched,,,0.75,BK,=FC01+CP01-A102:17,Controlled Rev-C connection; native QET continuity verification remains open
FILL_VALVE_2_CLOSED_FB,Sensor/interface supply,-B131,=FC01+FLD-B131,1,C011,2,-B131:1,X101:7,W0033,,-A102,=FC01+CP01-A102,17,I2.1,+24VDC fused,,,0.75,BN,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
FILL_VALVE_2_CLOSED_FB,Sensor/interface return,-B131,=FC01+FLD-B131,3,C011,3,-B131:3,X101:8,W0034,,-A102,=FC01+CP01-A102,17,I2.1,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
CAPPER_READY,PNP signal,-IF140,=FC01+FLD-IF140,4,C012,1,-IF140:4,X101:9,W0035,,-A102,=FC01+CP01-A102,18,I2.2,24 VDC switched,,,0.75,BK,=FC01+CP01-A102:18,Controlled Rev-C connection; native QET continuity verification remains open
CAPPER_READY,Sensor/interface supply,-IF140,=FC01+FLD-IF140,1,C012,2,-IF140:1,X101:10,W0036,,-A102,=FC01+CP01-A102,18,I2.2,+24VDC fused,,,0.75,BN,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
CAPPER_READY,Sensor/interface return,-IF140,=FC01+FLD-IF140,2,C012,3,-IF140:2,X101:11,W0037,,-A102,=FC01+CP01-A102,18,I2.2,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
CAPPER_BUSY,PNP signal,-IF140,=FC01+FLD-IF140,5,C012,4,-IF140:5,X101:12,W0038,,-A102,=FC01+CP01-A102,19,I2.3,24 VDC switched,,,0.75,BK,=FC01+CP01-A102:19,Controlled Rev-C connection; native QET continuity verification remains open
CAPPER_COMPLETE,PNP signal,-IF140,=FC01+FLD-IF140,6,C012,5,-IF140:6,X101:13,W0039,,-A102,=FC01+CP01-A102,20,I2.4,24 VDC switched,,,0.75,BK,=FC01+CP01-A102:20,Controlled Rev-C connection; native QET continuity verification remains open
CAPPER_FAULT,PNP signal,-IF140,=FC01+FLD-IF140,7,C012,6,-IF140:7,X101:14,W0040,,-A102,=FC01+CP01-A102,21,I2.5,24 VDC switched,,,0.75,BK,=FC01+CP01-A102:21,Controlled Rev-C connection; native QET continuity verification remains open
LOCAL_RESET_PB,PNP signal,-S100,=FC01+FLD-S100,4,C013,1,-S100:4,X101:15,W0041,,-A102,=FC01+CP01-A102,22,I2.6,24 VDC switched,,,0.75,BK,=FC01+CP01-A102:22,Controlled Rev-C connection; native QET continuity verification remains open
LOCAL_RESET_PB,Sensor/interface supply,-S100,=FC01+FLD-S100,1,C013,2,-S100:1,X101:16,W0042,,-A102,=FC01+CP01-A102,22,I2.6,+24VDC fused,,,0.75,BN,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
LOCAL_RESET_PB,Sensor/interface return,-S100,=FC01+FLD-S100,3,C013,3,-S100:3,X101:17,W0043,,-A102,=FC01+CP01-A102,22,I2.6,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
LOCAL_STOP_PB,PNP signal,-S101,=FC01+FLD-S101,4,C014,1,-S101:4,X101:18,W0044,,-A102,=FC01+CP01-A102,23,I2.7,24 VDC switched,,,0.75,BK,=FC01+CP01-A102:23,Controlled Rev-C connection; native QET continuity verification remains open
LOCAL_STOP_PB,Sensor/interface supply,-S101,=FC01+FLD-S101,1,C014,2,-S101:1,X101:19,W0045,,-A102,=FC01+CP01-A102,23,I2.7,+24VDC fused,,,0.75,BN,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
LOCAL_STOP_PB,Sensor/interface return,-S101,=FC01+FLD-S101,3,C014,3,-S101:3,X101:20,W0046,,-A102,=FC01+CP01-A102,23,I2.7,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
FILL_VALVE_1_OPEN_CMD,PLC output to relay coil,-K202,=FC01+CP01-K202,A1,,,-K202:A1,,W0047,-K202,-A103,=FC01+CP01-A103,2,Q0.2,24 VDC switched,,,0.75,BK,=FC01+CP01-A103:2,Controlled Rev-C connection; native QET continuity verification remains open
FILL_VALVE_1_OPEN_CMD,Relay coil return,-K202,=FC01+CP01-K202,A2,,,-K202:A2,,W0048,-K202,-A103,=FC01+CP01-A103,2,Q0.2,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
FILL_VALVE_1_OPEN_CMD,Relay contact supply,-K202,=FC01+CP01-K202,13,,,-K202:13,,W0049,-K202,-A103,=FC01+CP01-A103,2,Q0.2,+24VDC fused,,,0.75,RD,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
FILL_VALVE_1_OPEN_CMD,Relay contact 14 to field load,-YV102,=FC01+FLD-YV102,1,C015,1,-YV102:1,X101:21,W0050,-K202,-A103,=FC01+CP01-A103,2,Q0.2,+24VDC switched,,,0.75,BK,=FC01+CP01-K202:14,Controlled Rev-C connection; native QET continuity verification remains open
FILL_VALVE_1_OPEN_CMD,Field load return,-YV102,=FC01+FLD-YV102,2,C015,2,-YV102:2,X101:22,W0051,-K202,-A103,=FC01+CP01-A103,2,Q0.2,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
FILL_VALVE_2_OPEN_CMD,PLC output to relay coil,-K203,=FC01+CP01-K203,A1,,,-K203:A1,,W0052,-K203,-A103,=FC01+CP01-A103,3,Q0.3,24 VDC switched,,,0.75,BK,=FC01+CP01-A103:3,Controlled Rev-C connection; native QET continuity verification remains open
FILL_VALVE_2_OPEN_CMD,Relay coil return,-K203,=FC01+CP01-K203,A2,,,-K203:A2,,W0053,-K203,-A103,=FC01+CP01-A103,3,Q0.3,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
FILL_VALVE_2_OPEN_CMD,Relay contact supply,-K203,=FC01+CP01-K203,13,,,-K203:13,,W0054,-K203,-A103,=FC01+CP01-A103,3,Q0.3,+24VDC fused,,,0.75,RD,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
FILL_VALVE_2_OPEN_CMD,Relay contact 14 to field load,-YV103,=FC01+FLD-YV103,1,C016,1,-YV103:1,X101:23,W0055,-K203,-A103,=FC01+CP01-A103,3,Q0.3,+24VDC switched,,,0.75,BK,=FC01+CP01-K203:14,Controlled Rev-C connection; native QET continuity verification remains open
FILL_VALVE_2_OPEN_CMD,Field load return,-YV103,=FC01+FLD-YV103,2,C016,2,-YV103:2,X101:24,W0056,-K203,-A103,=FC01+CP01-A103,3,Q0.3,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
GATE_OPEN_CMD,PLC output to relay coil,-K204,=FC01+CP01-K204,A1,,,-K204:A1,,W0057,-K204,-A103,=FC01+CP01-A103,4,Q0.4,24 VDC switched,,,0.75,BK,=FC01+CP01-A103:4,Controlled Rev-C connection; native QET continuity verification remains open
GATE_OPEN_CMD,Relay coil return,-K204,=FC01+CP01-K204,A2,,,-K204:A2,,W0058,-K204,-A103,=FC01+CP01-A103,4,Q0.4,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
GATE_OPEN_CMD,Relay contact supply,-K204,=FC01+CP01-K204,13,,,-K204:13,,W0059,-K204,-A103,=FC01+CP01-A103,4,Q0.4,+24VDC fused,,,0.75,RD,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
GATE_OPEN_CMD,Relay contact 14 to field load,-YV100,=FC01+FLD-YV100,1,C017,1,-YV100:1,X102:1,W0060,-K204,-A103,=FC01+CP01-A103,4,Q0.4,+24VDC switched,,,0.75,BK,=FC01+CP01-K204:14,Controlled Rev-C connection; native QET continuity verification remains open
GATE_OPEN_CMD,Field load return,-YV100,=FC01+FLD-YV100,2,C017,2,-YV100:2,X102:2,W0061,-K204,-A103,=FC01+CP01-A103,4,Q0.4,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
GATE_CLOSE_CMD,PLC output to relay coil,-K205,=FC01+CP01-K205,A1,,,-K205:A1,,W0062,-K205,-A103,=FC01+CP01-A103,5,Q0.5,24 VDC switched,,,0.75,BK,=FC01+CP01-A103:5,Controlled Rev-C connection; native QET continuity verification remains open
GATE_CLOSE_CMD,Relay coil return,-K205,=FC01+CP01-K205,A2,,,-K205:A2,,W0063,-K205,-A103,=FC01+CP01-A103,5,Q0.5,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
GATE_CLOSE_CMD,Relay contact supply,-K205,=FC01+CP01-K205,13,,,-K205:13,,W0064,-K205,-A103,=FC01+CP01-A103,5,Q0.5,+24VDC fused,,,0.75,RD,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
GATE_CLOSE_CMD,Relay contact 14 to field load,-YV100,=FC01+FLD-YV100,3,C017,3,-YV100:3,X102:3,W0065,-K205,-A103,=FC01+CP01-A103,5,Q0.5,+24VDC switched,,,0.75,BK,=FC01+CP01-K205:14,Controlled Rev-C connection; native QET continuity verification remains open
GATE_CLOSE_CMD,Field load return,-YV100,=FC01+FLD-YV100,4,C017,4,-YV100:4,X102:4,W0066,-K205,-A103,=FC01+CP01-A103,5,Q0.5,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
CLAMP_ENGAGE_CMD,PLC output to relay coil,-K206,=FC01+CP01-K206,A1,,,-K206:A1,,W0067,-K206,-A103,=FC01+CP01-A103,6,Q0.6,24 VDC switched,,,0.75,BK,=FC01+CP01-A103:6,Controlled Rev-C connection; native QET continuity verification remains open
CLAMP_ENGAGE_CMD,Relay coil return,-K206,=FC01+CP01-K206,A2,,,-K206:A2,,W0068,-K206,-A103,=FC01+CP01-A103,6,Q0.6,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
CLAMP_ENGAGE_CMD,Relay contact supply,-K206,=FC01+CP01-K206,13,,,-K206:13,,W0069,-K206,-A103,=FC01+CP01-A103,6,Q0.6,+24VDC fused,,,0.75,RD,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
CLAMP_ENGAGE_CMD,Relay contact 14 to field load,-YV101,=FC01+FLD-YV101,1,C018,1,-YV101:1,X102:5,W0070,-K206,-A103,=FC01+CP01-A103,6,Q0.6,+24VDC switched,,,0.75,BK,=FC01+CP01-K206:14,Controlled Rev-C connection; native QET continuity verification remains open
CLAMP_ENGAGE_CMD,Field load return,-YV101,=FC01+FLD-YV101,2,C018,2,-YV101:2,X102:6,W0071,-K206,-A103,=FC01+CP01-A103,6,Q0.6,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
CLAMP_RELEASE_CMD,PLC output to relay coil,-K207,=FC01+CP01-K207,A1,,,-K207:A1,,W0072,-K207,-A103,=FC01+CP01-A103,7,Q0.7,24 VDC switched,,,0.75,BK,=FC01+CP01-A103:7,Controlled Rev-C connection; native QET continuity verification remains open
CLAMP_RELEASE_CMD,Relay coil return,-K207,=FC01+CP01-K207,A2,,,-K207:A2,,W0073,-K207,-A103,=FC01+CP01-A103,7,Q0.7,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
CLAMP_RELEASE_CMD,Relay contact supply,-K207,=FC01+CP01-K207,13,,,-K207:13,,W0074,-K207,-A103,=FC01+CP01-A103,7,Q0.7,+24VDC fused,,,0.75,RD,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
CLAMP_RELEASE_CMD,Relay contact 14 to field load,-YV101,=FC01+FLD-YV101,3,C018,3,-YV101:3,X102:7,W0075,-K207,-A103,=FC01+CP01-A103,7,Q0.7,+24VDC switched,,,0.75,BK,=FC01+CP01-K207:14,Controlled Rev-C connection; native QET continuity verification remains open
CLAMP_RELEASE_CMD,Field load return,-YV101,=FC01+FLD-YV101,4,C018,4,-YV101:4,X102:8,W0076,-K207,-A103,=FC01+CP01-A103,7,Q0.7,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
CAPPER_REQUEST,PLC output to relay coil,-K208,=FC01+CP01-K208,A1,,,-K208:A1,,W0077,-K208,-A103,=FC01+CP01-A103,8,Q1.0,24 VDC switched,,,0.75,BK,=FC01+CP01-A103:8,Controlled Rev-C connection; native QET continuity verification remains open
CAPPER_REQUEST,Relay coil return,-K208,=FC01+CP01-K208,A2,,,-K208:A2,,W0078,-K208,-A103,=FC01+CP01-A103,8,Q1.0,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
CAPPER_REQUEST,Relay contact supply,-K208,=FC01+CP01-K208,13,,,-K208:13,,W0079,-K208,-A103,=FC01+CP01-A103,8,Q1.0,+24VDC fused,,,0.75,RD,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
CAPPER_REQUEST,Relay contact 14 to field load,-IF140,=FC01+FLD-IF140,8,C012,7,-IF140:8,X102:9,W0080,-K208,-A103,=FC01+CP01-A103,8,Q1.0,+24VDC switched,,,0.75,BK,=FC01+CP01-K208:14,Controlled Rev-C connection; native QET continuity verification remains open
CAPPER_REQUEST,Field load return,-IF140,=FC01+FLD-IF140,9,C012,8,-IF140:9,X102:10,W0081,-K208,-A103,=FC01+CP01-A103,8,Q1.0,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
STACK_GREEN,PLC output to relay coil,-K209,=FC01+CP01-K209,A1,,,-K209:A1,,W0082,-K209,-A103,=FC01+CP01-A103,9,Q1.1,24 VDC switched,,,0.75,BK,=FC01+CP01-A103:9,Controlled Rev-C connection; native QET continuity verification remains open
STACK_GREEN,Relay coil return,-K209,=FC01+CP01-K209,A2,,,-K209:A2,,W0083,-K209,-A103,=FC01+CP01-A103,9,Q1.1,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
STACK_GREEN,Relay contact supply,-K209,=FC01+CP01-K209,13,,,-K209:13,,W0084,-K209,-A103,=FC01+CP01-A103,9,Q1.1,+24VDC fused,,,0.75,RD,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
STACK_GREEN,Relay contact 14 to field load,-H101,=FC01+FLD-H101,G,C019,1,-H101:G,X102:11,W0085,-K209,-A103,=FC01+CP01-A103,9,Q1.1,+24VDC switched,,,0.75,BK,=FC01+CP01-K209:14,Controlled Rev-C connection; native QET continuity verification remains open
STACK_GREEN,Field load return,-H101,=FC01+FLD-H101,COM-G,C019,2,-H101:COM-G,X102:12,W0086,-K209,-A103,=FC01+CP01-A103,9,Q1.1,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
STACK_AMBER,PLC output to relay coil,-K210,=FC01+CP01-K210,A1,,,-K210:A1,,W0087,-K210,-A103,=FC01+CP01-A103,10,Q1.2,24 VDC switched,,,0.75,BK,=FC01+CP01-A103:10,Controlled Rev-C connection; native QET continuity verification remains open
STACK_AMBER,Relay coil return,-K210,=FC01+CP01-K210,A2,,,-K210:A2,,W0088,-K210,-A103,=FC01+CP01-A103,10,Q1.2,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
STACK_AMBER,Relay contact supply,-K210,=FC01+CP01-K210,13,,,-K210:13,,W0089,-K210,-A103,=FC01+CP01-A103,10,Q1.2,+24VDC fused,,,0.75,RD,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
STACK_AMBER,Relay contact 14 to field load,-H101,=FC01+FLD-H101,A,C019,3,-H101:A,X102:13,W0090,-K210,-A103,=FC01+CP01-A103,10,Q1.2,+24VDC switched,,,0.75,BK,=FC01+CP01-K210:14,Controlled Rev-C connection; native QET continuity verification remains open
STACK_AMBER,Field load return,-H101,=FC01+FLD-H101,COM-A,C019,4,-H101:COM-A,X102:14,W0091,-K210,-A103,=FC01+CP01-A103,10,Q1.2,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
STACK_RED,PLC output to relay coil,-K211,=FC01+CP01-K211,A1,,,-K211:A1,,W0092,-K211,-A103,=FC01+CP01-A103,11,Q1.3,24 VDC switched,,,0.75,BK,=FC01+CP01-A103:11,Controlled Rev-C connection; native QET continuity verification remains open
STACK_RED,Relay coil return,-K211,=FC01+CP01-K211,A2,,,-K211:A2,,W0093,-K211,-A103,=FC01+CP01-A103,11,Q1.3,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
STACK_RED,Relay contact supply,-K211,=FC01+CP01-K211,13,,,-K211:13,,W0094,-K211,-A103,=FC01+CP01-A103,11,Q1.3,+24VDC fused,,,0.75,RD,=FC01+CP01-X24:+24V,Controlled Rev-C connection; native QET continuity verification remains open
STACK_RED,Relay contact 14 to field load,-H101,=FC01+FLD-H101,R,C019,5,-H101:R,X102:15,W0095,-K211,-A103,=FC01+CP01-A103,11,Q1.3,+24VDC switched,,,0.75,BK,=FC01+CP01-K211:14,Controlled Rev-C connection; native QET continuity verification remains open
STACK_RED,Field load return,-H101,=FC01+FLD-H101,COM-R,C019,6,-H101:COM-R,X102:16,W0096,-K211,-A103,=FC01+CP01-A103,11,Q1.3,0V,X0:0V,,0.75,BU,=FC01+CP01-X0:0V,Controlled Rev-C connection; native QET continuity verification remains open
AUDIBLE_ALARM,PLC output to relay coil,-K212,=FC01+CP01-K212,A1,,,-K212:A1,,W0097,-K212,-A103,=FC01+CP01-A103,12,Q1.4,24 VDC switched,,,0.75,BK,=FC01+CP01-A103:12,Controlled Rev-C connection; native QET continuity verification remains open
