signal,data_type,owner,meaning,transport,timeout_ms,opcua_type,byte_order,update_rule,invalid_action
VISION_MODEL_ID,STRING[32],NVIDIA,Controlled model identifier included in the atomic result,OPC UA ns=3;s=FC01.Vision.VISION_MODEL_ID,0,String,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
VISION_MODEL_SHA256,STRING[64],NVIDIA,Exact controlled model SHA-256 included in the atomic result,OPC UA ns=3;s=FC01.Vision.VISION_MODEL_SHA256,0,String,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
MAINTENANCE_MODE,BOOL,PLC,Permission-scoped maintenance request; never quality acceptance or actuator bypass,OPC UA ns=3;s=FC01.Vision.MAINTENANCE_MODE,0,Boolean,OPC UA typed scalar; no application byte swapping,PLC writes request/configuration; immutable while active,Edge refuses request and remains not ready/faulted
EXPECTED_DATASET_ID,STRING[32],PLC,Approved validation/dataset baseline expected for the active recipe,OPC UA ns=3;s=FC01.Vision.EXPECTED_DATASET_ID,0,String,OPC UA typed scalar; no application byte swapping,PLC writes request/configuration; immutable while active,Edge refuses request and remains not ready/faulted
EXPECTED_CALIBRATION_ID,STRING[32],PLC,Approved optics/calibration identity expected for the active recipe,OPC UA ns=3;s=FC01.Vision.EXPECTED_CALIBRATION_ID,0,String,OPC UA typed scalar; no application byte swapping,PLC writes request/configuration; immutable while active,Edge refuses request and remains not ready/faulted
CAPTURE_ACK_ID,UDINT,NVIDIA,Inspection ID whose image acquisition has been accepted,OPC UA ns=3;s=FC01.Vision.CAPTURE_ACK_ID,0,UInt32,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
PROCESSING_STATE,USINT,NVIDIA,0 not ready; 1 ready; 2 capture acknowledged; 3 processing; 4 complete; 5 fault,OPC UA ns=3;s=FC01.Vision.PROCESSING_STATE,0,Byte,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
SERVICE_HEALTHY,BOOL,NVIDIA,"Edge process, configuration, storage and watchdog health",OPC UA ns=3;s=FC01.Vision.SERVICE_HEALTHY,0,Boolean,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
CAMERA_HEALTHY,BOOL,NVIDIA,Camera connection/acquisition health; not optical-quality proof,OPC UA ns=3;s=FC01.Vision.CAMERA_HEALTHY,0,Boolean,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
MODEL_LOADED,BOOL,NVIDIA,Configured model adapter loaded with approved identity,OPC UA ns=3;s=FC01.Vision.MODEL_LOADED,0,Boolean,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
MAINTENANCE_ACTIVE,BOOL,NVIDIA,Edge is in controlled maintenance state and cannot publish production PASS,OPC UA ns=3;s=FC01.Vision.MAINTENANCE_ACTIVE,0,Boolean,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
RESULT_DISPOSITION,USINT,NVIDIA,0 none; 1 pass; 2 hold; 3 fail; 4 fault,OPC UA ns=3;s=FC01.Vision.RESULT_DISPOSITION,0,Byte,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
REASON_BITS,DWORD,NVIDIA,Structured quality/fault reason mask; PASS requires zero,OPC UA ns=3;s=FC01.Vision.REASON_BITS,0,UInt32,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
CONFIDENCE,REAL,NVIDIA,Normalized quality confidence; threshold remains PLC/recipe controlled,OPC UA ns=3;s=FC01.Vision.CONFIDENCE,0,Float,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
DATASET_ID,STRING[32],NVIDIA,Validation/dataset baseline identity bound to the result,OPC UA ns=3;s=FC01.Vision.DATASET_ID,0,String,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
CALIBRATION_ID,STRING[32],NVIDIA,Optics/calibration identity bound to the result,OPC UA ns=3;s=FC01.Vision.CALIBRATION_ID,0,String,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
CAPTURE_TIMESTAMP_UTC_MS,ULINT,NVIDIA,Diagnostic UTC image-acquisition timestamp in milliseconds,OPC UA ns=3;s=FC01.Vision.CAPTURE_TIMESTAMP_UTC_MS,0,UInt64,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
INFERENCE_TIMESTAMP_UTC_MS,ULINT,NVIDIA,Diagnostic UTC inference-completion timestamp in milliseconds,OPC UA ns=3;s=FC01.Vision.INFERENCE_TIMESTAMP_UTC_MS,0,UInt64,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
PUBLICATION_TIMESTAMP_UTC_MS,ULINT,NVIDIA,Diagnostic UTC immutable-publication timestamp in milliseconds,OPC UA ns=3;s=FC01.Vision.PUBLICATION_TIMESTAMP_UTC_MS,0,UInt64,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
PROCESSING_TIME_MS,UDINT,NVIDIA,Measured capture-to-publication processing time,OPC UA ns=3;s=FC01.Vision.PROCESSING_TIME_MS,1000,UInt32,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
DIAGNOSTIC_CODE,UDINT,NVIDIA,Edge first-out diagnostic code independent of PLC VISION_DIAG_REASON,OPC UA ns=3;s=FC01.Vision.DIAGNOSTIC_CODE,0,UInt32,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
QUEUE_DEPTH,UINT,NVIDIA,Bounded inspection queue depth; saturation fails closed,OPC UA ns=3;s=FC01.Vision.QUEUE_DEPTH,0,UInt16,OPC UA typed scalar; no application byte swapping,Edge writes payload before RESULT_VALID; immutable until exact ACK,PLC rejects publication and enters deterministic HOLD/FAULT
