hmi_tag,plc_source,access,command,request_seq,accepted_seq,rejected_seq,disabled_reason,role,screen
STATUS_FLOW_2_DELIVERED_ML,DB_CellMain.FillCh2.DeliveredMl,Read only,No,,,,,Operator,Filling
STATUS_FILL_1_DIAG,DB_CellMain.FillCh1.DiagReason,Read only,No,,,,,Operator,Filling
STATUS_FILL_2_DIAG,DB_CellMain.FillCh2.DiagReason,Read only,No,,,,,Operator,Filling
STATUS_CONVEYOR_READY,DB_Drives.Conveyor.Ready,Read only,No,,,,,Operator,Drives
STATUS_CONVEYOR_RUNNING,DB_Drives.Conveyor.Running,Read only,No,,,,,Operator,Drives
STATUS_CONVEYOR_FAULT,DB_Drives.Conveyor.Fault,Read only,No,,,,,Operator,Drives
STATUS_CONVEYOR_SPEED_PCT,DB_Drives.Conveyor.ActualSpeedPct,Read only,No,,,,,Operator,Drives
STATUS_PUMP_READY,DB_Drives.Pump.Ready,Read only,No,,,,,Operator,Drives
STATUS_PUMP_RUNNING,DB_Drives.Pump.Running,Read only,No,,,,,Operator,Drives
STATUS_PUMP_FAULT,DB_Drives.Pump.Fault,Read only,No,,,,,Operator,Drives
STATUS_PUMP_SPEED_PCT,DB_Drives.Pump.ActualSpeedPct,Read only,No,,,,,Operator,Drives
STATUS_VISION_READY,DB_VisionComms.Ready,Read only,No,,,,,Operator,Vision
STATUS_VISION_BUSY,DB_VisionComms.Busy,Read only,No,,,,,Operator,Vision
STATUS_VISION_RESULT_ID,DB_VisionComms.Result.ResultId,Read only,No,,,,,Operator,Vision
STATUS_VISION_LOW_CONFIDENCE,DB_VisionComms.Result.LowConfidence,Read only,No,,,,,Operator,Vision
STATUS_VISION_FAULT,DB_VisionComms.Result.Fault,Read only,No,,,,,Operator,Vision
STATUS_VISION_MODEL_ID,DB_VisionComms.Result.ModelId,Read only,No,,,,,Operator,Vision
STATUS_CAPPER_READY,DB_IO.Inputs.CapperReady,Read only,No,,,,,Operator,Diagnostics
STATUS_CAPPER_BUSY,DB_IO.Inputs.CapperBusy,Read only,No,,,,,Operator,Diagnostics
STATUS_CAPPER_COMPLETE,DB_IO.Inputs.CapperComplete,Read only,No,,,,,Operator,Diagnostics
STATUS_CAPPER_FAULT,DB_IO.Inputs.CapperFault,Read only,No,,,,,Operator,Diagnostics
STATUS_HMI_COMMUNICATIONS_HEALTHY,DB_HMI.CommunicationsHealthy,Read only,No,,,,,Operator,Diagnostics
CMD_START,DB_HMI.Start.Request,Write request only,Yes,DB_HMI.Start.RequestSeq,DB_HMI.Start.AcceptedSeq,DB_HMI.Start.RejectedSeq,DB_HMI.Start.DisabledReason,Operator,Overview
CMD_CONTROLLED_STOP,DB_HMI.ControlledStop.Request,Write request only,Yes,DB_HMI.ControlledStop.RequestSeq,DB_HMI.ControlledStop.AcceptedSeq,DB_HMI.ControlledStop.RejectedSeq,DB_HMI.ControlledStop.DisabledReason,Operator,Overview
CMD_RESET,DB_HMI.Reset.Request,Write request only,Yes,DB_HMI.Reset.RequestSeq,DB_HMI.Reset.AcceptedSeq,DB_HMI.Reset.RejectedSeq,DB_HMI.Reset.DisabledReason,Operator,Overview
CMD_ALARM_ACK,DB_HMI.AlarmAck.Request,Write request only,Yes,DB_HMI.AlarmAck.RequestSeq,DB_HMI.AlarmAck.AcceptedSeq,DB_HMI.AlarmAck.RejectedSeq,DB_HMI.AlarmAck.DisabledReason,Operator,Alarms
CMD_AUTO_MODE,DB_HMI.AutoMode.Request,Write request only,Yes,DB_HMI.AutoMode.RequestSeq,DB_HMI.AutoMode.AcceptedSeq,DB_HMI.AutoMode.RejectedSeq,DB_HMI.AutoMode.DisabledReason,Operator,Overview
CMD_MANUAL_MODE,DB_HMI.ManualMode.Request,Write request only,Yes,DB_HMI.ManualMode.RequestSeq,DB_HMI.ManualMode.AcceptedSeq,DB_HMI.ManualMode.RejectedSeq,DB_HMI.ManualMode.DisabledReason,Maintenance,Manual
CMD_DISPOSITION_REMOVED,DB_HMI.DispositionRemoved.Request,Write request only,Yes,DB_HMI.DispositionRemoved.RequestSeq,DB_HMI.DispositionRemoved.AcceptedSeq,DB_HMI.DispositionRemoved.RejectedSeq,DB_HMI.DispositionRemoved.DisabledReason,Supervisor,Holding
CMD_RECIPE_APPLY,DB_HMI.RecipeApply.Request,Write request only,Yes,DB_HMI.RecipeApply.RequestSeq,DB_HMI.RecipeApply.AcceptedSeq,DB_HMI.RecipeApply.RejectedSeq,DB_HMI.RecipeApply.DisabledReason,Supervisor,Recipes
HOLD_MANUALCONVEYORJOG,DB_HMI.ManualConveyorJog.Request,Write while pressed; PLC heartbeat supervised,Yes - hold to run,,,,DB_HMI.ManualConveyorJog.DisabledReason,Maintenance,Manual
HOLD_MANUALPUMPJOG,DB_HMI.ManualPumpJog.Request,Write while pressed; PLC heartbeat supervised,Yes - hold to run,,,,DB_HMI.ManualPumpJog.DisabledReason,Maintenance,Manual
HOLD_MANUALVALVE1,DB_HMI.ManualValve1.Request,Write while pressed; PLC heartbeat supervised,Yes - hold to run,,,,DB_HMI.ManualValve1.DisabledReason,Maintenance,Manual
HOLD_MANUALVALVE2,DB_HMI.ManualValve2.Request,Write while pressed; PLC heartbeat supervised,Yes - hold to run,,,,DB_HMI.ManualValve2.DisabledReason,Maintenance,Manual
HOLD_MANUALSECURE,DB_HMI.ManualSecure.Request,Write while pressed; PLC heartbeat supervised,Yes - hold to run,,,,DB_HMI.ManualSecure.DisabledReason,Maintenance,Manual
RECIPE_CANDIDATE_RECIPEID,DB_Recipe.Candidate.RecipeId,Supervisor write; committed only by sequenced RecipeApply,No,,,,DB_HMI.RecipeApply.DisabledReason,Supervisor,Recipes
RECIPE_CANDIDATE_TARGETMLCH1,DB_Recipe.Candidate.TargetMlCh1,Supervisor write; committed only by sequenced RecipeApply,No,,,,DB_HMI.RecipeApply.DisabledReason,Supervisor,Recipes
RECIPE_CANDIDATE_TARGETMLCH2,DB_Recipe.Candidate.TargetMlCh2,Supervisor write; committed only by sequenced RecipeApply,No,,,,DB_HMI.RecipeApply.DisabledReason,Supervisor,Recipes
RECIPE_CANDIDATE_PULSESPERLITRECH1,DB_Recipe.Candidate.PulsesPerLitreCh1,Supervisor write; committed only by sequenced RecipeApply,No,,,,DB_HMI.RecipeApply.DisabledReason,Supervisor,Recipes
RECIPE_CANDIDATE_PULSESPERLITRECH2,DB_Recipe.Candidate.PulsesPerLitreCh2,Supervisor write; committed only by sequenced RecipeApply,No,,,,DB_HMI.RecipeApply.DisabledReason,Supervisor,Recipes
RECIPE_CANDIDATE_UNDERTOLERANCEML,DB_Recipe.Candidate.UnderToleranceMl,Supervisor write; committed only by sequenced RecipeApply,No,,,,DB_HMI.RecipeApply.DisabledReason,Supervisor,Recipes
RECIPE_CANDIDATE_OVERTOLERANCEML,DB_Recipe.Candidate.OverToleranceMl,Supervisor write; committed only by sequenced RecipeApply,No,,,,DB_HMI.RecipeApply.DisabledReason,Supervisor,Recipes
RECIPE_CANDIDATE_NOFLOWTIMEOUT,DB_Recipe.Candidate.NoFlowTimeout,Supervisor write; committed only by sequenced RecipeApply,No,,,,DB_HMI.RecipeApply.DisabledReason,Supervisor,Recipes
RECIPE_CANDIDATE_FILLTIMEOUT,DB_Recipe.Candidate.FillTimeout,Supervisor write; committed only by sequenced RecipeApply,No,,,,DB_HMI.RecipeApply.DisabledReason,Supervisor,Recipes
RECIPE_CANDIDATE_VALVEOPENTIMEOUT,DB_Recipe.Candidate.ValveOpenTimeout,Supervisor write; committed only by sequenced RecipeApply,No,,,,DB_HMI.RecipeApply.DisabledReason,Supervisor,Recipes
RECIPE_CANDIDATE_VALVECLOSETIMEOUT,DB_Recipe.Candidate.ValveCloseTimeout,Supervisor write; committed only by sequenced RecipeApply,No,,,,DB_HMI.RecipeApply.DisabledReason,Supervisor,Recipes
RECIPE_CANDIDATE_PLAUSIBILITYTIME,DB_Recipe.Candidate.PlausibilityTime,Supervisor write; committed only by sequenced RecipeApply,No,,,,DB_HMI.RecipeApply.DisabledReason,Supervisor,Recipes
RECIPE_CANDIDATE_PULSEWINDOWTIMES,DB_Recipe.Candidate.PulseWindowTimeS,Supervisor write; committed only by sequenced RecipeApply,No,,,,DB_HMI.RecipeApply.DisabledReason,Supervisor,Recipes
RECIPE_CANDIDATE_DRIPSETTLETIME,DB_Recipe.Candidate.DripSettleTime,Supervisor write; committed only by sequenced RecipeApply,No,,,,DB_HMI.RecipeApply.DisabledReason,Supervisor,Recipes
RECIPE_CANDIDATE_VISIONTIMEOUT,DB_Recipe.Candidate.VisionTimeout,Supervisor write; committed only by sequenced RecipeApply,No,,,,DB_HMI.RecipeApply.DisabledReason,Supervisor,Recipes
RECIPE_CANDIDATE_TARGETFILLLEVEL,DB_Recipe.Candidate.TargetFillLevel,Supervisor write; committed only by sequenced RecipeApply,No,,,,DB_HMI.RecipeApply.DisabledReason,Supervisor,Recipes
HMI_COMMAND_HEARTBEAT,DB_HMI.CommandHeartbeat,Write heartbeat counter only,No,,,,,System,System
