terminal,symbol,plc_address,device,potential,status
X101:19,STACK_AMBER,Q1.2,-K210,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X101:20,STACK_RED,Q1.3,-K211,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X101:21,AUDIBLE_ALARM,Q1.4,-K212,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X101:22,CAMERA_LIGHT_ENABLE,Q1.5,-K213,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X101:23,DO_SPARE_01,Q1.6,SPARE,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X101:24,DO_SPARE_02,Q1.7,SPARE,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X102:1,DO_SPARE_03,Q2.0,SPARE,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X102:2,DO_SPARE_04,Q2.1,SPARE,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X102:3,DO_SPARE_05,Q2.2,SPARE,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X102:4,DO_SPARE_06,Q2.3,SPARE,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X102:5,DO_SPARE_07,Q2.4,SPARE,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X102:6,DO_SPARE_08,Q2.5,SPARE,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X102:7,DO_SPARE_09,Q2.6,SPARE,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X102:8,DO_SPARE_10,Q2.7,SPARE,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X102:9,DO_SPARE_11,Q3.0,SPARE,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X102:10,DO_SPARE_12,Q3.1,SPARE,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X102:11,DO_SPARE_13,Q3.2,SPARE,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X102:12,DO_SPARE_14,Q3.3,SPARE,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X102:13,DO_SPARE_15,Q3.4,SPARE,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X102:14,DO_SPARE_16,Q3.5,SPARE,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X102:15,DO_SPARE_17,Q3.6,SPARE,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X102:16,DO_SPARE_18,Q3.7,SPARE,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X102:17,FLOW_1_MA_RAW,IW64,-FT100,4-20mA isolated loop,Inherited concept; final QET Siemens upgrade open
X102:18,FLOW_2_MA_RAW,IW66,-FT101,4-20mA isolated loop,Inherited concept; final QET Siemens upgrade open
X102:19,AI_SPARE_01,IW68,SPARE,4-20mA isolated loop,Inherited concept; final QET Siemens upgrade open
X102:20,AI_SPARE_02,IW70,SPARE,4-20mA isolated loop,Inherited concept; final QET Siemens upgrade open
X102:21,AI_SPARE_03,IW72,SPARE,4-20mA isolated loop,Inherited concept; final QET Siemens upgrade open
X102:22,AI_SPARE_04,IW74,SPARE,4-20mA isolated loop,Inherited concept; final QET Siemens upgrade open
X102:23,AI_SPARE_05,IW76,SPARE,4-20mA isolated loop,Inherited concept; final QET Siemens upgrade open
X102:24,AI_SPARE_06,IW78,SPARE,4-20mA isolated loop,Inherited concept; final QET Siemens upgrade open
X103:1,FLOW_1_PULSE,TM1.CH0.A,-FT100,24VDC/0V,Inherited concept; final QET Siemens upgrade open
X103:2,FLOW_2_PULSE,TM1.CH1.A,-FT101,24VDC/0V,Inherited concept; final QET Siemens upgrade open
