requirement_id,requirement,verification,status,design_artifact,test_ids,evidence
SYS-022,Provide deterministic simulator and fault-injection regression suite,Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,11_simulation/filling_cell_simulator.py; 11_simulation/tests,TC-001..TC-032,"32 deterministic process scenarios plus 99 source/simulator/native-contract tests, 28 deterministic vision-fault scenarios, 86 edge-service tests and 17 interface-harness tests; see the executed report"
SYS-023,"Maintain canonical tags across I/O, HMI, electrical, AI and tests",Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,00_project_control/canonical_model.json; scripts/validate_project.py,VAL-D-STATIC,Revision-E canonical/source/schedule/native-evidence validator; the executed report records the exact current check count
SYS-024,"Provide backup, restore and release-manifest procedure",Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,13_documentation/backup_recovery.md; scripts/build_manifest.py; scripts/verify_manifest.py,PROC-RESTORE-OPEN; MANIFEST-VERIFY-001,restore execution remains open; final deterministic manifest verification required
SYS-025,No physical reject device is included; operator disposition is required,Review + deterministic simulation where applicable,Implemented in reviewable sources; native Siemens verification blocked,04_controls_siemens/scl/FB_MachineCoordinator.scl; 13_documentation/functional_design_specification.md,TC-025; TC-026,low-confidence/failed-bottle traces enter HOLDING pending disposition
SYS-026,Keep NVIDIA non-safety and unable to command actuators or bypass PLC interlocks,Review plus deterministic source tests and structured behavioral fault injection where applicable,Implemented locally where possible; external native/data/hardware acceptance remains explicit,02_system_architecture/revision_f_vision_integration_architecture.md,VFS-002; VFS-004,"Revision-F controlled source, schedule, test and review records"
SYS-027,"Support camera, recorded-directory and explicitly synthetic non-production acquisition adapters",Review plus deterministic source tests and structured behavioral fault injection where applicable,Implemented locally where possible; external native/data/hardware acceptance remains explicit,07_nvidia_vision/edge_service,EDGE-PIPELINE,"Revision-F controlled source, schedule, test and review records"
SYS-028,"Validate versioned configuration schema, reject unknown keys and publish configuration hashes",Review plus deterministic source tests and structured behavioral fault injection where applicable,Implemented locally where possible; external native/data/hardware acceptance remains explicit,07_nvidia_vision/edge_service,EDGE-CONFIG,"Revision-F controlled source, schedule, test and review records"
SYS-029,Correlate capture acknowledgement and processing state to the immutable inspection identity,Review plus deterministic source tests and structured behavioral fault injection where applicable,Implemented locally where possible; external native/data/hardware acceptance remains explicit,04_controls_siemens/scl/FB_VisionInterface.scl; 07_nvidia_vision/edge_service,EDGE-V3; SCL-V3,"Revision-F controlled source, schedule, test and review records"
SYS-030,Publish explicit PASS HOLD FAIL or FAULT disposition with structured reason bits,Review plus deterministic source tests and structured behavioral fault injection where applicable,Implemented locally where possible; external native/data/hardware acceptance remains explicit,02_system_architecture/interface_control_document.md,EDGE-V3; SCL-V3,"Revision-F controlled source, schedule, test and review records"
SYS-031,"Bind model, dataset and calibration identities to each accepted result",Review plus deterministic source tests and structured behavioral fault injection where applicable,Implemented locally where possible; external native/data/hardware acceptance remains explicit,07_nvidia_vision/plc_ai_interface_v3.md,EDGE-V3,"Revision-F controlled source, schedule, test and review records"
SYS-032,Provide diagnostic UTC timestamps while retaining PLC monotonic timing as acceptance authority,Review plus deterministic source tests and structured behavioral fault injection where applicable,Implemented locally where possible; external native/data/hardware acceptance remains explicit,02_system_architecture/revision_f_vision_integration_architecture.md,EDGE-V3; VFS-020,"Revision-F controlled source, schedule, test and review records"
SYS-033,"Expose service, camera, model, maintenance, queue and diagnostic health",Review plus deterministic source tests and structured behavioral fault injection where applicable,Implemented locally where possible; external native/data/hardware acceptance remains explicit,05_hmi; 07_nvidia_vision/plc_ai_node_map.csv,EDGE-V3; HMI-V3,"Revision-F controlled source, schedule, test and review records"
SYS-034,Fail closed when durable inspection audit records cannot be written,Review plus deterministic source tests and structured behavioral fault injection where applicable,Implemented locally where possible; external native/data/hardware acceptance remains explicit,07_nvidia_vision/edge_service,EDGE-AUDIT; VFS-021,"Revision-F controlled source, schedule, test and review records"
SYS-035,Version and hash dataset records and split by production lot to prevent leakage,Review plus deterministic source tests and structured behavioral fault injection where applicable,Implemented locally where possible; external native/data/hardware acceptance remains explicit,07_nvidia_vision,DATASET-TOOLS,"Revision-F controlled source, schedule, test and review records"
SYS-036,"Provide reproducible evaluation, FAR/FRR, threshold and latency tooling without fabricated results",Review plus deterministic source tests and structured behavioral fault injection where applicable,Implemented locally where possible; external native/data/hardware acceptance remains explicit,07_nvidia_vision,EVAL-TOOLS,"Revision-F controlled source, schedule, test and review records"
SYS-037,"Define optical resolution, exposure, motion-blur, glare, focus and calibration acceptance methods",Review plus deterministic source tests and structured behavioral fault injection where applicable,Implemented locally where possible; external native/data/hardware acceptance remains explicit,07_nvidia_vision; 12_testing/AI_commissioning_procedure.md,DOC-LINK,"Revision-F controlled source, schedule, test and review records"
SYS-038,Apply least-privilege certificate-based OPC UA across the controlled quality zone,Review plus deterministic source tests and structured behavioral fault injection where applicable,Implemented locally where possible; external native/data/hardware acceptance remains explicit,13_documentation/network_cybersecurity.md,OPCUA-INTEGRATION,"Revision-F controlled source, schedule, test and review records"
SYS-039,Retain bounded deployment rollback and independent model/configuration/calibration identities,Review plus deterministic source tests and structured behavioral fault injection where applicable,Implemented locally where possible; external native/data/hardware acceptance remains explicit,13_documentation/ai_maintenance_backup.md,DOC-LINK,"Revision-F controlled source, schedule, test and review records"
SYS-040,Do not retain raw production images by default and require an approved retention/privacy policy,Review plus deterministic source tests and structured behavioral fault injection where applicable,Implemented locally where possible; external native/data/hardware acceptance remains explicit,02_system_architecture/revision_f_vision_integration_architecture.md,DOC-LINK,"Revision-F controlled source, schedule, test and review records"
SYS-041,"Reserve separately protected edge, camera, lighting and maintenance electrical branches",Review plus deterministic source tests and structured behavioral fault injection where applicable,Implemented locally where possible; external native/data/hardware acceptance remains explicit,03_electrical/revision_f_nvidia_electrical_delta.md,NED-CHECK,"Revision-F controlled source, schedule, test and review records"
SYS-042,"Reject queue saturation, concurrent transaction reuse and results for unknown IDs",Review plus deterministic source tests and structured behavioral fault injection where applicable,Implemented locally where possible; external native/data/hardware acceptance remains explicit,11_simulation/vision_fault_scenarios.json,EDGE-V3; VFS-012; VFS-025,"Revision-F controlled source, schedule, test and review records"
SYS-043,Invalidate an active inspection on recipe change or unacceptable clock discontinuity,Review plus deterministic source tests and structured behavioral fault injection where applicable,Implemented locally where possible; external native/data/hardware acceptance remains explicit,07_nvidia_vision/edge_service/opcua_adapter.py; 11_simulation/vision_fault_scenarios.json,EDGE-V3; VFS-019; VFS-020,"Revision-F controlled source, schedule, test and review records"
SYS-044,Require explicit recovery and a new start following PLC or edge restart,Review plus deterministic source tests and structured behavioral fault injection where applicable,Implemented locally where possible; external native/data/hardware acceptance remains explicit,11_simulation/revision_f_vision_sil.py,VFS-017; VFS-018; VFS-027,"Revision-F controlled source, schedule, test and review records"
SYS-045,Keep flow and level instrumentation as the primary deterministic filling measurement,Review plus deterministic source tests and structured behavioral fault injection where applicable,Implemented locally where possible; external native/data/hardware acceptance remains explicit,02_system_architecture/revision_f_vision_integration_architecture.md,ARCH-OWNER,"Revision-F controlled source, schedule, test and review records"
